filename,object_location,image_small,image_thumb,title,artist,publication,date,page,subject
HarpersBazaar_1877_512.pdf,/objects/HarpersBazaar_1877_512.pdf,/objects/small/harpersbazaar_1877_512_sm.jpg,/objects/thumbs/harpersbazaar_1877_512_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-08-11,512,
HarpersBazaar_1877_752.pdf,/objects/HarpersBazaar_1877_752.pdf,/objects/small/harpersbazaar_1877_752_sm.jpg,/objects/thumbs/harpersbazaar_1877_752_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-11-24,752,
HarpersBazaar_1877_792.pdf,/objects/HarpersBazaar_1877_792.pdf,/objects/small/harpersbazaar_1877_792_sm.jpg,/objects/thumbs/harpersbazaar_1877_792_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-12-15,792,
HarpersBazaar_1877_816.pdf,/objects/HarpersBazaar_1877_816.pdf,/objects/small/harpersbazaar_1877_816_sm.jpg,/objects/thumbs/harpersbazaar_1877_816_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-12-22,816,
HarpersBazaar_1878_136.pdf,/objects/HarpersBazaar_1878_136.pdf,/objects/small/harpersbazaar_1878_136_sm.jpg,/objects/thumbs/harpersbazaar_1878_136_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-01-12,136,
HarpersBazaar_1878_168.pdf,/objects/HarpersBazaar_1878_168.pdf,/objects/small/harpersbazaar_1878_168_sm.jpg,/objects/thumbs/harpersbazaar_1878_168_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-02-23,168,
HarpersBazaar_1878_248.pdf,/objects/HarpersBazaar_1878_248.pdf,/objects/small/harpersbazaar_1878_248_sm.jpg,/objects/thumbs/harpersbazaar_1878_248_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-03-09,248,
HarpersBazaar_1878_328.pdf,/objects/HarpersBazaar_1878_328.pdf,/objects/small/harpersbazaar_1878_328_sm.jpg,/objects/thumbs/harpersbazaar_1878_328_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-05-18,328,
HarpersBazaar_1878_36.pdf,/objects/HarpersBazaar_1878_36.pdf,/objects/small/harpersbazaar_1878_36_sm.jpg,/objects/thumbs/harpersbazaar_1878_36_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-01-12,36,
HarpersBazaar_1878_424.pdf,/objects/HarpersBazaar_1878_424.pdf,/objects/small/harpersbazaar_1878_424_sm.jpg,/objects/thumbs/harpersbazaar_1878_424_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-06-29,424,
HarpersBazaar_1878_472.pdf,/objects/HarpersBazaar_1878_472.pdf,/objects/small/harpersbazaar_1878_472_sm.jpg,/objects/thumbs/harpersbazaar_1878_472_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-07-20,472,
HarpersBazaar_1878_760.pdf,/objects/HarpersBazaar_1878_760.pdf,/objects/small/harpersbazaar_1878_760_sm.jpg,/objects/thumbs/harpersbazaar_1878_760_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-11-23,760,
HarpersBazaar_1878_792.pdf,/objects/HarpersBazaar_1878_792.pdf,/objects/small/harpersbazaar_1878_792_sm.jpg,/objects/thumbs/harpersbazaar_1878_792_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-12-7,792,
HarpersBazaar_1878_824.pdf,/objects/HarpersBazaar_1878_824.pdf,/objects/small/harpersbazaar_1878_824_sm.jpg,/objects/thumbs/harpersbazaar_1878_824_th.jpg,,"Bellew, Allie",Harper's Bazar,1878-12-21,824,
